domain,keyword,document_frequency,weighted_frequency,pct_of_jobs,weighted_pct,rank
AI/ML,you,2132,1605.7,77.19,0.93,1
AI/ML,learning,2081,1554.7,75.34,0.9,2
AI/ML,machine,2000,1473.7,72.41,0.85,3
AI/ML,engineer,1764,1244.0,63.87,0.72,4
AI/ML,models,1723,1196.7,62.38,0.69,5
AI/ML,computer,1298,1034.8,46.99,0.6,6
AI/ML,production,1492,965.7,54.02,0.56,7
AI/ML,years,945,945.0,34.21,0.55,8
AI/ML,data,932,928.4,33.74,0.54,9
AI/ML,business,1175,911.9,42.54,0.53,10
AI/ML,teams,1085,813.5,39.28,0.47,11
AI/ML,building,1026,762.9,37.15,0.44,12
AI/ML,complex,1023,759.9,37.04,0.44,13
AI/ML,performance,984,720.9,35.63,0.42,14
AI/ML,deep,954,690.8,34.54,0.4,15
AI/ML,like,916,652.9,33.16,0.38,16
AI/ML,frameworks,914,650.9,33.09,0.38,17
AI/ML,problems,895,631.9,32.4,0.37,18
AI/ML,lead,865,607.3,31.32,0.35,19
AI/ML,model,866,602.9,31.35,0.35,20
AI/ML,implement,849,585.8,30.74,0.34,21
AI/ML,pipelines,842,578.9,30.49,0.34,22
AI/ML,include,840,576.9,30.41,0.33,23
AI/ML,implementing,832,568.9,30.12,0.33,24
AI/ML,deploying,825,561.8,29.87,0.33,25
AI/ML,vision,813,549.8,29.44,0.32,26
AI/ML,pytorch,804,540.9,29.11,0.31,27
AI/ML,while,797,540.2,28.86,0.31,28
AI/ML,edge,799,535.8,28.93,0.31,29
AI/ML,deploy,795,531.9,28.78,0.31,30
Cloud Computing,cloud,1678,1348.7,82.82,1.05,1
Cloud Computing,you,1346,1016.7,66.44,0.79,2
Cloud Computing,infrastructure,1282,952.7,63.28,0.74,3
Cloud Computing,aws,1022,849.1,50.44,0.66,4
Cloud Computing,years,830,829.7,40.97,0.64,5
Cloud Computing,development,733,711.7,36.18,0.55,6
Cloud Computing,azure,870,697.1,42.94,0.54,7
Cloud Computing,engineer,845,673.6,41.71,0.52,8
Cloud Computing,applications,833,660.1,41.12,0.51,9
Cloud Computing,code,836,651.1,41.26,0.51,10
Cloud Computing,software,657,634.8,32.43,0.49,11
Cloud Computing,practices,708,563.6,34.95,0.44,12
Cloud Computing,services,564,562.8,27.84,0.44,13
Cloud Computing,technical,536,535.7,26.46,0.42,14
Cloud Computing,teams,613,520.6,30.26,0.4,15
Cloud Computing,security,664,519.6,32.77,0.4,16
Cloud Computing,best,651,506.6,32.13,0.39,17
Cloud Computing,lead,695,493.8,34.3,0.38,18
Cloud Computing,implementing,639,466.1,31.54,0.36,19
Cloud Computing,projects,623,450.1,30.75,0.35,20
Cloud Computing,implement,594,437.6,29.32,0.34,21
Cloud Computing,include,598,425.1,29.52,0.33,22
Cloud Computing,gcp,597,424.1,29.47,0.33,23
Cloud Computing,architect,572,414.4,28.23,0.32,24
Cloud Computing,managing,579,406.1,28.58,0.32,25
Cloud Computing,scalable,562,405.6,27.74,0.32,26
Cloud Computing,native,574,401.1,28.33,0.31,27
Cloud Computing,environments,547,390.6,27.0,0.3,28
Cloud Computing,plus,544,387.6,26.85,0.3,29
Cloud Computing,manage,560,387.1,27.64,0.3,30
Cybersecurity,security,2737,2013.9,87.39,1.17,1
Cybersecurity,you,2359,1635.9,75.32,0.95,2
Cybersecurity,incidents,1846,1135.2,58.94,0.66,3
Cybersecurity,engineer,1501,1133.4,47.92,0.66,4
