location,job_count,weighted_job_count,percentage,weighted_percentage
united states,1507,1583.5,3.94,5.76
"new york, ny",271,569.0,0.71,2.07
"chicago, il",205,431.3,0.54,1.57
"atlanta, ga",206,407.09999999999997,0.54,1.48
"austin, tx",192,394.09999999999997,0.5,1.43
"san francisco, ca",127,376.09999999999997,0.33,1.37
"seattle, wa",146,343.09999999999997,0.38,1.25
"dallas, tx",195,339.5,0.51,1.24
"boston, ma",122,298.9,0.32,1.09
"houston, tx",158,281.1,0.41,1.02
"charlotte, nc",134,272.9,0.35,0.99
"washington, dc",83,270.0,0.22,0.98
"phoenix, az",118,245.7,0.31,0.89
"san diego, ca",91,226.5,0.24,0.82
"london, england, united kingdom",0,226.0,0.0,0.82
"plano, tx",135,219.5,0.35,0.8
"los angeles, ca",65,215.79999999999998,0.17,0.79
"san jose, ca",101,203.9,0.26,0.74
"mclean, va",101,180.9,0.26,0.66
"new york, united states",95,175.79999999999998,0.25,0.64
