Company Name,Role,Base,CTC
Rubrik,,,145
Atlassian,Software Engineer,,85
Pace Stock Broking,Multiple Profiles,30,75
Databricks,Software Engineer,39.6,68.36
Apple,Software Development (IS&T),16,65
Apple,Software Development (Ops),16,65
Apple,Data Science and ML (Ops),16,65
Apple,Software Development (Wireless),16,65
Apple,Software Engineering ML (AppleCare),16,65
Rubrik,,,60
Zomato,Software Development Engineer - 1,24,56
CRED,,,55
D. E. Shaw,Software Development Engineer in Test,18,52
Google,,,52
Plutus Research Pvt. Ltd.,Multiple Profiles,24,51.5
Microsoft,Software Engineering,15,51.03
Microsoft Inc.,,,51
NUTANIX,Multiple Profiles,23,50.57
JAVIS,AI Product Manager,27,48.6
Meesho,SDE,20,46
26 Miles Capital,Quant Researcher,24,45
Zomato,Product Analyst,18,44
Amazon,,,42
Palo Alto Networks,Software Engineer,14,41.96
Palo Alto Networks,Business Systems Analyst,14,41.96
Visa,Software Engineer,16.57,41.64
Mihup,MLS,36,40
Samsung Bangalore,Engineer / Senior Engineer - Advanced Developer,15.19,40
Media.net,SDE,18,39.31
GOOGLE,Software Engineer,21,38.99
Texas Instruments,Embedded Software Engineer,19.25,38.53
Writesonic,Software Engineer,20,38.5
Eightfold.ai,Product Solutions Expert - 1,16.38,37.53
Typeface,Multiple,22,37.45
Trilogy Innovations,Software Development Engineer ,30,36.5
Harness,Software Development Engineer,23,36
JAVIS,Software Development Engineer I (Front End),20,36
JAVIS,Associate Product Manager (Front End),20,36
JAVIS,Software Development Engineer I (Backend Java),20,36
JAVIS,Associate Product Manager (Backend),20,36
Meesho,Multiple Profiles,16,36
Wells Fargo,Program Analyst,24,35
Confluent,Software Engineer,23,35
InMobi,Software Development Engineer - 1,22,35
BitGo,Software Engineer,15,35
ORACLE,Multiple Profiles,17.78,34.1
Meesho,Software Development Engineer,20,34
Paypal,Software Engineer ,15,34
Paypal,Data Science ,15,34
Phonepe,,,33.57
Palo Alto,,,33.33
Commvault,Software Development Engineer,16,33
Flipkart,Software Development Engineer - 1,18,32.57
Cleartrip,Software Development Engineer - 1,18,32.57
Trilogy Innovations (CODENATION),Software Development Engineer,30,32.5
PhonePe,Software Engineer,19.5,32.5
Findoc,Quantative Researcher,20,32.36
Findoc,Software Developer,20,32.36
Expedia Group,Software Development Engineer - 1,15,32
NVIDIA,ASIC Engineer,23.86,31.86
NVIDIA,System Software Engineer,17.5,31.86
NVIDIA,Formal Verification Engineer,17.5,31.86
AQR Capital India Services LLP,Analyst,23.1,31.61
Myntra,SDE,18,30.5
Formi,Deep Learning Engineer,18,30.5
JAVIS,Customer Success Manager I,16.8,30.24
LG Ads Solutions(Alphonso),Software Engineer,30,30
Winzo games,Software Developer,25.5,30
Vyapar App,Software Engineer - 1,15,30
Raam Group,Next Gen Leader,10,30
Arista,,,29.5
Morgan Stanley,Technology Analyst ,13,29.48
Zomato,Software Development Engineer,24,29
Cohesity,Member of Technical Staff,21,28.63
